"# Backoff Power Limit Table (unit is 1 dBm, resolution level is ?0.5 dBm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch10,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
Ch11,20,20,20,20,16,16,16,16,13,11.5,10,16,16,15,15,15,15,15,15,15,15,16,10.5,9,15,13.5,12,15,14,15,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
Ch12,20,20,20,20,16,16,16,16,13,11.5,10,15,15,15,15,15,15,15,15,15,15,12,10.5,9,15,13.5,12,15,14,15,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14
Ch13,20,20,20,20,16,16,16,16,13,11.5,10,15,15,15,15,15,15,15,15,15,15,12,10.5,9,15,13.5,12,15,14,15,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14
Ch14,20,20,20,20,16,16,16,16,13,11.5,10,15,15,15,15,15,15,15,15,15,15,12,10.5,9,15,13.5,12,15,14,15,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,11,9.5,8,14,12.5,11,14,13,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 5G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch184,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch188,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch192,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch196,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch36,8,8,8,8,23,20,17.5,17.5,20,13,11.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,13,11.5,17.5,16,14.5,17.5,16.5,17.5,18,18,18,18,18,18,18,18,18,18,18,13.5,12,18,16.5,15,18,17,18,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch40,8,8,8,8,25,22,22,22,22,17.5,16,22,22,22,22,22,22,22,22,22,22,22,17.5,16,22,20.5,19,22,21,22,18,18,18,18,18,18,18,18,18,18,18,13.5,12,18,16.5,15,18,17,18,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch44,8,8,8,8,25,22,22,22,22,17.5,16,22,22,22,22,22,22,22,22,22,22,22,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,21,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch48,8,8,8,8,23,20,22,22,20,17.5,16,22,22,22,22,22,22,22,22,22,22,22,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,21,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch52,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch56,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch60,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch64,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
